Id,UTC,UTCMilliseconds,PCLocalTime,PCTime,UpdateOf,Sensor_0_Raw,Sensor_0_Depth
1,2017-09-29 09:24:56.735,735,2017-09-29 09:24:56.735,2017-09-29 09:24:56.737,0,-1.38916015625,-5.204008789062499
2,2017-09-29 09:25:06.736,736,2017-09-29 09:25:06.736,2017-09-29 09:25:06.737,0,-1.390380859375,-5.219548339843751
3,2017-09-29 09:25:16.736,736,2017-09-29 09:25:16.736,2017-09-29 09:25:16.737,0,-1.38916015625,-5.204008789062499
4,2017-09-29 09:25:26.745,745,2017-09-29 09:25:26.745,2017-09-29 09:25:26.745,0,-1.38916015625,-5.204008789062499
5,2017-09-29 09:25:36.745,745,2017-09-29 09:25:36.745,2017-09-29 09:25:36.746,0,-1.390380859375,-5.219548339843751
6,2017-09-29 09:25:46.746,746,2017-09-29 09:25:46.746,2017-09-29 09:25:46.747,0,-1.38916015625,-5.204008789062499
7,2017-09-29 09:25:56.746,746,2017-09-29 09:25:56.746,2017-09-29 09:25:56.747,0,-1.387939453125,-5.18846923828125
8,2017-09-29 09:26:06.746,746,2017-09-29 09:26:06.746,2017-09-29 09:26:06.747,0,-1.38916015625,-5.204008789062499
9,2017-09-29 09:26:16.746,746,2017-09-29 09:26:16.746,2017-09-29 09:26:16.747,0,-1.390380859375,-5.219548339843751
10,2017-09-29 09:26:26.747,747,2017-09-29 09:26:26.747,2017-09-29 09:26:26.747,0,-1.390380859375,-5.219548339843751
11,2017-09-29 09:26:36.746,746,2017-09-29 09:26:36.746,2017-09-29 09:26:36.747,0,-1.390380859375,-5.219548339843751
12,2017-09-29 09:26:46.747,747,2017-09-29 09:26:46.747,2017-09-29 09:26:46.747,0,-1.390380859375,-5.219548339843751
13,2017-09-29 09:26:56.771,771,2017-09-29 09:26:56.771,2017-09-29 09:26:56.772,0,-1.390380859375,-5.219548339843751
14,2017-09-29 09:27:06.748,748,2017-09-29 09:27:06.748,2017-09-29 09:27:06.749,0,-1.390380859375,-5.219548339843751
15,2017-09-29 09:27:16.756,756,2017-09-29 09:27:16.756,2017-09-29 09:27:16.756,0,-1.38916015625,-5.204008789062499
16,2017-09-29 09:27:26.756,756,2017-09-29 09:27:26.756,2017-09-29 09:27:26.757,0,-1.390380859375,-5.219548339843751
17,2017-09-29 09:27:36.757,757,2017-09-29 09:27:36.757,2017-09-29 09:27:36.757,0,-1.390380859375,-5.219548339843751
18,2017-09-29 09:27:46.757,757,2017-09-29 09:27:46.757,2017-09-29 09:27:46.757,0,-1.390380859375,-5.219548339843751
19,2017-09-29 09:27:56.757,757,2017-09-29 09:27:56.757,2017-09-29 09:27:56.757,0,-1.390380859375,-5.219548339843751
20,2017-09-29 09:28:06.757,757,2017-09-29 09:28:06.757,2017-09-29 09:28:06.758,0,-1.38916015625,-5.204008789062499
21,2017-09-29 09:28:16.758,758,2017-09-29 09:28:16.758,2017-09-29 09:28:16.758,0,-1.38916015625,-5.204008789062499
22,2017-09-29 09:28:26.758,758,2017-09-29 09:28:26.758,2017-09-29 09:28:26.758,0,-1.390380859375,-5.219548339843751
23,2017-09-29 09:28:36.767,767,2017-09-29 09:28:36.767,2017-09-29 09:28:36.767,0,-1.390380859375,-5.219548339843751
24,2017-09-29 09:28:46.767,767,2017-09-29 09:28:46.767,2017-09-29 09:28:46.767,0,-1.390380859375,-5.219548339843751
25,2017-09-29 09:28:56.767,767,2017-09-29 09:28:56.767,2017-09-29 09:28:56.767,0,-1.390380859375,-5.219548339843751
26,2017-09-29 09:29:06.767,767,2017-09-29 09:29:06.767,2017-09-29 09:29:06.767,0,-1.390380859375,-5.219548339843751
27,2017-09-29 09:29:16.768,768,2017-09-29 09:29:16.768,2017-09-29 09:29:16.768,0,-1.38916015625,-5.204008789062499
28,2017-09-29 09:29:26.768,768,2017-09-29 09:29:26.768,2017-09-29 09:29:26.768,0,-1.38916015625,-5.204008789062499
29,2017-09-29 09:29:36.768,768,2017-09-29 09:29:36.768,2017-09-29 09:29:36.768,0,-1.390380859375,-5.219548339843751
30,2017-09-29 09:29:46.768,768,2017-09-29 09:29:46.768,2017-09-29 09:29:46.769,0,-1.390380859375,-5.219548339843751
31,2017-09-29 09:29:56.768,768,2017-09-29 09:29:56.768,2017-09-29 09:29:56.769,0,-1.390380859375,-5.219548339843751
32,2017-09-29 09:30:06.769,769,2017-09-29 09:30:06.769,2017-09-29 09:30:06.769,0,-1.390380859375,-5.219548339843751
33,2017-09-29 09:30:16.769,769,2017-09-29 09:30:16.769,2017-09-29 09:30:16.769,0,-1.390380859375,-5.219548339843751
34,2017-09-29 09:30:26.769,769,2017-09-29 09:30:26.769,2017-09-29 09:30:26.770,0,-1.38916015625,-5.204008789062499
35,2017-09-29 09:30:36.770,770,2017-09-29 09:30:36.770,2017-09-29 09:30:36.771,0,-1.390380859375,-5.219548339843751
36,2017-09-29 09:30:46.770,770,2017-09-29 09:30:46.770,2017-09-29 09:30:46.770,0,-1.38916015625,-5.204008789062499
37,2017-09-29 09:30:56.778,778,2017-09-29 09:30:56.778,2017-09-29 09:30:56.779,0,-1.38916015625,-5.204008789062499
38,2017-09-29 09:31:06.778,778,2017-09-29 09:31:06.778,2017-09-29 09:31:06.779,0,-1.390380859375,-5.219548339843751
39,2017-09-29 09:31:16.779,779,2017-09-29 09:31:16.779,2017-09-29 09:31:16.779,0,-1.390380859375,-5.219548339843751
40,2017-09-29 09:31:26.779,779,2017-09-29 09:31:26.779,2017-09-29 09:31:26.779,0,-1.390380859375,-5.219548339843751
41,2017-09-29 09:31:36.780,780,2017-09-29 09:31:36.780,2017-09-29 09:31:36.780,0,-1.38916015625,-5.204008789062499
42,2017-09-29 09:31:46.780,780,2017-09-29 09:31:46.780,2017-09-29 09:31:46.780,0,-1.390380859375,-5.219548339843751
43,2017-09-29 09:31:56.780,780,2017-09-29 09:31:56.780,2017-09-29 09:31:56.781,0,-1.390380859375,-5.219548339843751
44,2017-09-29 09:32:06.781,781,2017-09-29 09:32:06.781,2017-09-29 09:32:06.781,0,-1.390380859375,-5.219548339843751
45,2017-09-29 09:32:16.781,781,2017-09-29 09:32:16.781,2017-09-29 09:32:16.781,0,-1.390380859375,-5.219548339843751
46,2017-09-29 09:32:26.781,781,2017-09-29 09:32:26.781,2017-09-29 09:32:26.782,0,-1.38916015625,-5.204008789062499
47,2017-09-29 09:32:36.782,782,2017-09-29 09:32:36.782,2017-09-29 09:32:36.782,0,-1.38916015625,-5.204008789062499
48,2017-09-29 09:32:46.790,790,2017-09-29 09:32:46.790,2017-09-29 09:32:46.790,0,-1.390380859375,-5.219548339843751
49,2017-09-29 09:32:56.790,790,2017-09-29 09:32:56.790,2017-09-29 09:32:56.791,0,2.498779296875,44.28946044921875
50,2017-09-29 09:33:06.791,791,2017-09-29 09:33:06.791,2017-09-29 09:33:06.791,0,2.498779296875,44.28946044921875
51,2017-09-29 09:33:16.790,790,2017-09-29 09:33:16.790,2017-09-29 09:33:16.791,0,2.498779296875,44.28946044921875
52,2017-09-29 09:33:26.791,791,2017-09-29 09:33:26.791,2017-09-29 09:33:26.791,0,2.498779296875,44.28946044921875
53,2017-09-29 09:33:36.792,792,2017-09-29 09:33:36.792,2017-09-29 09:33:36.792,0,2.498779296875,44.28946044921875
54,2017-09-29 09:33:46.792,792,2017-09-29 09:33:46.792,2017-09-29 09:33:46.792,0,2.498779296875,44.28946044921875
55,2017-09-29 09:33:56.792,792,2017-09-29 09:33:56.792,2017-09-29 09:33:56.792,0,2.498779296875,44.28946044921875
56,2017-09-29 09:34:06.792,792,2017-09-29 09:34:06.792,2017-09-29 09:34:06.792,0,2.498779296875,44.28946044921875
57,2017-09-29 09:34:16.793,793,2017-09-29 09:34:16.793,2017-09-29 09:34:16.793,0,2.498779296875,44.28946044921875
58,2017-09-29 09:34:26.792,792,2017-09-29 09:34:26.792,2017-09-29 09:34:26.793,0,2.498779296875,44.28946044921875
59,2017-09-29 09:34:36.794,794,2017-09-29 09:34:36.794,2017-09-29 09:34:36.794,0,2.498779296875,44.28946044921875
