Id,UTC,UTCMilliseconds,PCLocalTime,PCTime,GpsDate,GPSTime,Latitude,Longitude,Speed,SpeedType,Heading,HeadingType,TrueHeading,MagneticHeading,MagneticVariation,GPSError,DataStatus
2000,2017-11-08 11:30:30.812,812,2017-11-08 11:30:30.812,2017-11-08 11:30:30.813,2017-11-08 11:29:32.000,112932000,50.355301666666669,-4.1330183333333332,2.1721779404975496,N ,173.9301217728559,T ,,,-1.7354104036677096,0,A  
2001,2017-11-08 11:30:40.813,813,2017-11-08 11:30:40.813,2017-11-08 11:30:40.814,2017-11-08 11:29:42.000,112942000,50.355203333333336,-4.133,2.1721779908041623,N ,173.93010929426561,T ,,,-1.7353902592339752,0,A  
2002,2017-11-08 11:30:50.813,813,2017-11-08 11:30:50.813,2017-11-08 11:30:50.814,2017-11-08 11:29:52.000,112952000,50.35510166666667,-4.1329799999999999,2.2083092649751164,N ,167.99346144260568,T ,,,-1.735369057151444,0,A  
2003,2017-11-08 11:31:00.813,813,2017-11-08 11:31:00.813,2017-11-08 11:31:00.815,2017-11-08 11:30:02.000,113002000,50.354999999999997,-4.132953333333333,2.208309471120288,N ,167.99343648522895,T ,,,-1.7353454536372732,0,A  
2004,2017-11-08 11:31:10.813,813,2017-11-08 11:31:10.813,2017-11-08 11:31:10.814,2017-11-08 11:30:12.000,113012000,50.354900000000001,-4.1329000000000002,2.2672496797504245,N ,162.30653109968466,T ,,,-1.7353124727193101,0,A  
2005,2017-11-08 11:31:20.815,815,2017-11-08 11:31:20.815,2017-11-08 11:31:20.816,2017-11-08 11:30:22.000,113022000,50.354788333333332,-4.1328383333333329,2.6125128382517708,N ,164.70676360468445,T ,,,-1.7352748892845711,0,A  
2006,2017-11-08 11:31:31.814,814,2017-11-08 11:31:31.814,2017-11-08 11:31:31.815,2017-11-08 11:30:33.000,113033000,50.354633333333332,-4.1327933333333338,3.3124653046972372,N ,167.99334705593992,T ,,,-1.7352373595565878,0,A  
2007,2017-11-08 11:31:42.811,811,2017-11-08 11:31:42.811,2017-11-08 11:31:42.812,2017-11-08 11:30:44.000,113044000,50.354455000000002,-4.1327233333333337,3.6291921323549592,N ,172.72794591625146,T ,,,-1.7351876229894705,0,A  
2008,2017-11-08 11:31:52.816,816,2017-11-08 11:31:52.816,2017-11-08 11:31:52.818,2017-11-08 11:30:54.000,113054000,50.354283333333335,-4.1326833333333335,3.6291923426157222,N ,172.72791990298921,T ,,,-1.7351496131933581,0,A  
2009,2017-11-08 11:32:03.812,812,2017-11-08 11:32:03.812,2017-11-08 11:32:03.813,2017-11-08 11:31:05.000,113105000,50.354093333333331,-4.1326400000000003,3.7153943253734076,N ,165.6828064070061,T ,,,-1.7351078829704769,0,A  
2010,2017-11-08 11:32:14.813,813,2017-11-08 11:32:14.813,2017-11-08 11:32:14.815,2017-11-08 11:31:16.000,113116000,50.353904999999997,-4.1325633333333336,3.7787567585705664,N ,162.30618457986827,T ,,,-1.7350543744645395,0,A  
2011,2017-11-08 11:32:24.813,813,2017-11-08 11:32:24.813,2017-11-08 11:32:24.814,2017-11-08 11:31:26.000,113126000,50.353720000000003,-4.132506666666667,4.0651898150472796,N ,166.937538839571,T ,,,-1.7350085330469101,0,A  
2012,2017-11-08 11:32:34.815,815,2017-11-08 11:32:34.815,2017-11-08 11:32:34.816,2017-11-08 11:31:36.000,113136000,50.353536666666663,-4.1324399999999999,3.9865578755982196,N ,173.38276361307192,T ,,,-1.734959318618859,0,A  
2013,2017-11-08 11:32:45.813,813,2017-11-08 11:32:45.813,2017-11-08 11:32:45.815,2017-11-08 11:31:47.000,113147000,50.35332833333333,-4.1324050000000003,4.0195089842700691,N ,170.12857916636648,T ,,,-1.7349180771034443,0,A  
2014,2017-11-08 11:32:56.812,812,2017-11-08 11:32:56.812,2017-11-08 11:32:56.813,2017-11-08 11:31:58.000,113158000,50.353124999999999,-4.1323499999999997,4.0195094902363664,N ,170.12853772003496,T ,,,-1.7348703177778029,0,A  
2015,2017-11-08 11:33:07.812,812,2017-11-08 11:33:07.812,2017-11-08 11:33:07.813,2017-11-08 11:32:09.000,113209000,50.352915000000003,-4.132298333333333,4.3443583194254192,N ,173.92981954446162,T ,,,-1.7348228451832359,0,A  
2016,2017-11-08 11:33:17.814,814,2017-11-08 11:33:17.814,2017-11-08 11:33:17.815,2017-11-08 11:32:19.000,113219000,50.352721666666667,-4.1322633333333334,4.3261024872890514,N ,176.95635678951376,T ,,,-1.7347836678669215,0,A  
2017,2017-11-08 11:33:27.822,822,2017-11-08 11:33:27.822,2017-11-08 11:33:27.823,2017-11-08 11:32:29.000,113229000,50.352525,-4.1322266666666669,4.3746163854511195,N ,170.93679089927025,T ,,,-1.734743433403414,0,A  
2018,2017-11-08 11:33:38.815,815,2017-11-08 11:33:38.815,2017-11-08 11:33:38.816,2017-11-08 11:32:40.000,113240000,50.352310000000003,-4.1321933333333334,4.0195115166378459,N ,170.12837160117147,T ,,,-1.7347018804283683,0,A  
2019,2017-11-08 11:33:49.814,814,2017-11-08 11:33:49.814,2017-11-08 11:33:49.815,2017-11-08 11:32:51.000,113251000,50.352098333333331,-4.1321500000000002,4.019512044833891,N ,170.12832846245257,T ,,,-1.7346571832324524,0,A  
2020,2017-11-08 11:33:59.819,819,2017-11-08 11:33:59.819,2017-11-08 11:33:59.821,2017-11-08 11:33:01.000,113301000,50.351906666666665,-4.1321050000000001,3.9666565960645928,N ,176.68019818256323,T ,,,-1.7346146345345421,0,A  
2021,2017-11-08 11:34:10.816,816,2017-11-08 11:34:10.816,2017-11-08 11:34:10.818,2017-11-08 11:33:12.000,113312000,50.351696666666669,-4.1320949999999996,3.9865599257407749,N ,173.38250943605959,T ,,,-1.7345821738134901,0,A  
2022,2017-11-08 11:34:20.817,817,2017-11-08 11:34:20.817,2017-11-08 11:34:20.818,2017-11-08 11:33:22.000,113322000,50.351508333333335,-4.1320499999999996,4.0195135114261475,N ,170.12820820235203,T ,,,-1.7345400833477098,0,A  
2023,2017-11-08 11:34:31.812,812,2017-11-08 11:34:31.812,2017-11-08 11:34:31.814,2017-11-08 11:33:33.000,113333000,50.351301666666664,-4.1320183333333329,4.0195140271832939,N ,170.12816608327523,T ,,,-1.7345002765114979,0,A  
2024,2017-11-08 11:34:41.818,818,2017-11-08 11:34:41.818,2017-11-08 11:34:41.820,2017-11-08 11:33:43.000,113343000,50.351108333333336,-4.1319900000000001,3.9666568181933086,N ,176.68014248726257,T ,,,-1.7344635044713905,0,A  
2025,2017-11-08 11:34:51.818,818,2017-11-08 11:34:51.818,2017-11-08 11:34:51.819,2017-11-08 11:33:53.000,113353000,50.350918333333333,-4.1319766666666666,4.3199999998364547,N ,180,T ,,,-1.7344325930107714,0,A  
2026,2017-11-08 11:35:02.814,814,2017-11-08 11:35:02.814,2017-11-08 11:35:02.815,2017-11-08 11:34:04.000,113404000,50.350724999999997,-4.1319133333333333,3.8548175369759843,N ,159.05056676455487,T ,,,-1.7343832104084744,0,A  
2027,2017-11-08 11:35:12.816,816,2017-11-08 11:35:12.816,2017-11-08 11:35:12.818,2017-11-08 11:34:14.000,113414000,50.350551666666668,-4.1318366666666666,3.8548193359032279,N ,159.05049692509914,T ,,,-1.7343317738058084,0,A  
2028,2017-11-08 11:35:23.817,817,2017-11-08 11:35:23.817,2017-11-08 11:35:23.819,2017-11-08 11:34:25.000,113425000,50.350353333333331,-4.1317616666666668,4.065204541952947,N ,166.93664435811527,T ,,,-1.7342775043813481,0,A  
2029,2017-11-08 11:35:34.820,820,2017-11-08 11:35:34.820,2017-11-08 11:35:34.821,2017-11-08 11:34:36.000,113436000,50.350144999999998,-4.1317250000000003,4.3443611537029501,N ,173.92946805003726,T ,,,-1.7342356711730571,0,A  
2030,2017-11-08 11:35:45.815,815,2017-11-08 11:35:45.815,2017-11-08 11:35:45.816,2017-11-08 11:34:47.000,113447000,50.34993166666667,-4.131663333333333,4.3746223146120204,N ,170.93630408780896,T ,,,-1.7341841481597757,0,A  
2031,2017-11-08 11:35:56.816,816,2017-11-08 11:35:56.816,2017-11-08 11:35:56.818,2017-11-08 11:34:58.000,113458000,50.349718333333335,-4.1316199999999998,3.9865621316811977,N ,173.38223616029575,T ,,,-1.7341392291513771,0,A  
2032,2017-11-08 11:36:06.816,816,2017-11-08 11:36:06.816,2017-11-08 11:36:06.817,2017-11-08 11:35:08.000,113508000,50.349528333333332,-4.1315866666666663,3.9666572623743437,N ,183.31996773309351,T ,,,-1.7341011174022727,0,A  
2033,2017-11-08 11:36:16.817,817,2017-11-08 11:36:16.817,2017-11-08 11:36:16.818,2017-11-08 11:35:18.000,113518000,50.349346666666669,-4.1315283333333337,4.1232094138077553,N ,163.82532331113026,T ,,,-1.7340551445644512,0,A  
2034,2017-11-08 11:36:26.823,823,2017-11-08 11:36:26.823,2017-11-08 11:36:26.824,2017-11-08 11:35:28.000,113528000,50.349161666666667,-4.1314766666666669,3.9666573635688587,N ,176.6800066867151,T ,,,-1.7340111162649816,0,A  
2035,2017-11-08 11:36:37.823,823,2017-11-08 11:36:37.823,2017-11-08 11:36:37.825,2017-11-08 11:35:39.000,113539000,50.348953333333334,-4.1314816666666667,4.3199999998364547,N ,180,T ,,,-1.7339842936031065,0,A  
2036,2017-11-08 11:36:48.820,820,2017-11-08 11:36:48.820,2017-11-08 11:36:48.821,2017-11-08 11:35:50.000,113550000,50.348743333333331,-4.1314483333333332,4.0195203930715779,N ,170.12764465647285,T ,,,-1.7339434361754977,0,A  
2037,2017-11-08 11:36:58.822,822,2017-11-08 11:36:58.822,2017-11-08 11:36:58.823,2017-11-08 11:36:00.000,113600000,50.348548333333333,-4.131405,4.3443627874502333,N ,173.92926544942574,T ,,,-1.7339010393890566,0,A  
2038,2017-11-08 11:37:09.818,818,2017-11-08 11:37:09.818,2017-11-08 11:37:09.819,2017-11-08 11:36:11.000,113611000,50.348336666666668,-4.1313800000000001,4.3261036137236522,N ,183.04392377439882,T ,,,-1.733862955877987,0,A  
2039,2017-11-08 11:37:19.820,820,2017-11-08 11:37:19.820,2017-11-08 11:37:19.822,2017-11-08 11:36:21.000,113621000,50.348148333333334,-4.1313533333333332,3.9865638823291873,N ,173.3820192951668,T ,,,-1.7338274771225188,0,A  
2040,2017-11-08 11:37:30.820,820,2017-11-08 11:37:30.820,2017-11-08 11:37:30.822,2017-11-08 11:36:32.000,113632000,50.347938333333332,-4.1313133333333329,4.3261037160505529,N ,176.95605074006855,T ,,,-1.733784220694784,0,A  
2041,2017-11-08 11:37:40.821,821,2017-11-08 11:37:40.821,2017-11-08 11:37:40.822,2017-11-08 11:36:42.000,113642000,50.347745000000003,-4.1313066666666662,4.3261037657155885,N ,176.95603837057467,T ,,,-1.7337552604583377,0,A  
2042,2017-11-08 11:37:51.817,817,2017-11-08 11:37:51.817,2017-11-08 11:37:51.818,2017-11-08 11:36:53.000,113653000,50.34753666666667,-4.1312733333333336,3.9865645643662861,N ,173.38193480838174,T ,,,-1.7337146346836665,0,A  
2043,2017-11-08 11:38:01.822,822,2017-11-08 11:38:01.822,2017-11-08 11:38:01.824,2017-11-08 11:37:03.000,113703000,50.347351666666668,-4.1312550000000003,3.9666578706688642,N ,176.67988042193298,T ,,,-1.7336826161388343,0,A  
2044,2017-11-08 11:38:12.822,822,2017-11-08 11:38:12.822,2017-11-08 11:38:12.824,2017-11-08 11:37:14.000,113714000,50.347148333333337,-4.13124,3.9666579276433631,N ,183.32013376406525,T ,,,-1.7336492798481267,0,A  
2045,2017-11-08 11:38:23.818,818,2017-11-08 11:38:23.818,2017-11-08 11:38:23.819,2017-11-08 11:37:25.000,113725000,50.346946666666668,-4.1312516666666665,3.959999999210595,N ,180,T ,,,-1.73362577667281,0,A  
2046,2017-11-08 11:38:33.821,821,2017-11-08 11:38:33.821,2017-11-08 11:38:33.822,2017-11-08 11:37:35.000,113735000,50.346763333333335,-4.1312333333333333,4.0195253184668669,N ,170.12724111199799,T ,,,-1.7335939878264595,0,A  
2047,2017-11-08 11:38:43.822,822,2017-11-08 11:38:43.822,2017-11-08 11:38:43.823,2017-11-08 11:37:45.000,113745000,50.346578333333333,-4.1312266666666666,3.9666580888714869,N ,176.67982647508546,T ,,,-1.733566172598795,0,A  
2048,2017-11-08 11:38:53.825,825,2017-11-08 11:38:53.825,2017-11-08 11:38:53.826,2017-11-08 11:37:55.000,113755000,50.346395000000001,-4.131218333333333,3.9865658374257964,N ,173.38177711213081,T ,,,-1.733537985994144,0,A  
2049,2017-11-08 11:39:04.827,827,2017-11-08 11:39:04.827,2017-11-08 11:39:04.829,2017-11-08 11:38:06.000,113806000,50.34619,-4.1312216666666668,3.9600000007453673,N ,180,T ,,,-1.7335110259341771,0,A  
2050,2017-11-08 11:39:15.822,822,2017-11-08 11:39:15.822,2017-11-08 11:39:15.823,2017-11-08 11:38:17.000,113817000,50.345986666666668,-4.1312133333333332,3.9666582531061598,N ,183.32021479940761,T ,,,-1.7334800930716108,0,A  
2051,2017-11-08 11:39:26.820,820,2017-11-08 11:39:26.820,2017-11-08 11:39:26.822,2017-11-08 11:38:28.000,113828000,50.345799999999997,-4.1312783333333334,3.2596668803392794,N ,219.36825482681027,T ,,,-1.733477856445983,0,A  
2052,2017-11-08 11:39:36.820,820,2017-11-08 11:39:36.820,2017-11-08 11:39:36.822,2017-11-08 11:38:38.000,113838000,50.345666666666666,-4.1314083333333329,3.6171456267658999,N ,206.39714548479424,T ,,,-1.7335063466407563,0,A  
2053,2017-11-08 11:39:46.828,828,2017-11-08 11:39:46.828,2017-11-08 11:39:46.829,2017-11-08 11:38:48.000,113848000,50.345491666666668,-4.1314849999999996,3.9865668447178568,N ,173.38165233971097,T ,,,-1.7335099161756107,0,A  
2054,2017-11-08 11:39:57.831,831,2017-11-08 11:39:57.831,2017-11-08 11:39:57.832,2017-11-08 11:38:59.000,113859000,50.345300000000002,-4.1314033333333331,4.0652266436670361,N ,166.93530183199692,T ,,,-1.7334541734168236,0,A  
2055,2017-11-08 11:40:08.820,820,2017-11-08 11:40:08.820,2017-11-08 11:40:08.821,2017-11-08 11:39:10.000,113910000,50.345095000000001,-4.1313700000000004,3.9865672870361104,N ,186.61840244911912,T ,,,-1.7334140099996243,0,A  
2056,2017-11-08 11:40:18.823,823,2017-11-08 11:40:18.823,2017-11-08 11:40:18.824,2017-11-08 11:39:20.000,113920000,50.344900000000003,-4.1314133333333336,4.3261044965630271,N ,176.9558563527267,T ,,,-1.7334028334442675,0,A  
2057,2017-11-08 11:40:28.824,824,2017-11-08 11:40:28.824,2017-11-08 11:40:28.825,2017-11-08 11:39:30.000,113930000,50.344704999999998,-4.1314149999999996,4.3199999998364547,N ,180,T ,,,-1.7333766514147821,0,A  
2058,2017-11-08 11:40:38.831,831,2017-11-08 11:40:38.831,2017-11-08 11:40:38.833,2017-11-08 11:39:40.000,113940000,50.344513333333332,-4.1314116666666667,4.3199999998364547,N ,180,T ,,,-1.7333491260657798,0,A  
2059,2017-11-08 11:40:49.821,821,2017-11-08 11:40:49.821,2017-11-08 11:40:49.822,2017-11-08 11:39:51.000,113951000,50.344301666666667,-4.1314200000000003,3.986568173200483,N ,186.61851202325715,T ,,,-1.7333230559464383,0,A  
2060,2017-11-08 11:40:59.823,823,2017-11-08 11:40:59.823,2017-11-08 11:40:59.824,2017-11-08 11:40:01.000,114001000,50.344110000000001,-4.1314700000000002,4.3443673289584561,N ,186.07129770574159,T ,,,-1.7333147383566652,0,A  
2061,2017-11-08 11:41:10.827,827,2017-11-08 11:41:10.827,2017-11-08 11:41:10.828,2017-11-08 11:40:12.000,114012000,50.343895000000003,-4.1314799999999998,4.3199999998364547,N ,180,T ,,,-1.7332888121472154,0,A  
2062,2017-11-08 11:41:21.820,820,2017-11-08 11:41:21.820,2017-11-08 11:41:21.821,2017-11-08 11:40:23.000,114023000,50.343688333333333,-4.131496666666667,3.9865688571267461,N ,186.61859673710634,T ,,,-1.7332664296365812,0,A  
2063,2017-11-08 11:41:31.825,825,2017-11-08 11:41:31.825,2017-11-08 11:41:31.826,2017-11-08 11:40:33.000,114033000,50.343496666666667,-4.1315066666666667,4.0195334486739114,N ,170.12657536891874,T ,,,-1.73324370771641,0,A  
2064,2017-11-08 11:41:42.827,827,2017-11-08 11:41:42.827,2017-11-08 11:41:42.828,2017-11-08 11:40:44.000,114044000,50.343285000000002,-4.131521666666667,3.9865693053595028,N ,186.61865244778707,T ,,,-1.7332200402275808,0,A  
